alternatives_considered,anti_jobs,circumstance,complexity,content_gap,content_needs,context,context_tags,contextual_dimension,cross_references,customer_segment,desired_outcomes,difficulty,doc,doc_type,emotional_dimension,emotional_need,evidence,expected_outcome,frequency,functional_dimension,functional_need,goal,granularity,id,importance,job,job_id,job_map_stage,job_performer,job_statement,job_type,linked_adoc_modules,motivation,notes,original_section_title,outcome,pain_point,pain_points,parent_job,persona,prerequisites,primary_persona,priority,related_jobs,satisfaction_with_current_solution,secondary_persona,section,situation,social_need,source_url,strategic_value,success_criteria,supporting_personas,task_type,taxonomy_category,user_persona,workflow_stage
,,,,,,,,,,,"['Ensure environment name consistency across manifest fields', 'Minimize errors in label-to-namespace mapping', 'Enable proper environment grouping in UI']",,health-information-for-resources-deployment.adoc,,,,"health-information-for-resources-deployment-reduced.adoc -> Section 'Environment labels', lines 19-50 [module: modules/go-settings-for-environment-labels-and-annotations.adoc, type: REFERENCE]. Specification requires identical values for labels.openshift.gitops/environment and destination.namespace fields.",,,,,,user_story,,,,,Prepare,,"When creating GitOps application manifests, I want to set matching environment labels and namespace destinations, so I can link applications to their deployment environments in the console",related,,,This is a user story showing one specific way to accomplish the parent job of configuring environment visibility. Focuses on label configuration aspect.,,,,,"When setting up GitOps environments, I want to configure proper labels and annotations on application and namespace manifests, so I can ensure the environment displays correctly in the OpenShift web console",Platform Engineer,[],,,['Configure environment annotations'],,,Environment labels,,,,,,,,,,
,,,,,,,,,,,"['Ensure VCS traceability for environment configuration', 'Enable source code navigation from console', 'Minimize time to locate environment source repository']",,health-information-for-resources-deployment.adoc,,,,"health-information-for-resources-deployment-reduced.adoc -> Section 'Environment annotations', lines 52-79 [module: modules/go-settings-for-environment-labels-and-annotations.adoc, type: REFERENCE]. Specification requires annotations.app.openshift.io/vcs-uri and annotations.app.openshift.io/vcs-ref fields.",,,,,,user_story,,,,,Prepare,,"When creating GitOps namespace manifests, I want to annotate with version control source details, so I can track the Git repository and branch for each environment",related,,,This is a user story showing the annotation aspect of environment configuration. Complements the label configuration story.,,,,,"When setting up GitOps environments, I want to configure proper labels and annotations on application and namespace manifests, so I can ensure the environment displays correctly in the OpenShift web console",Platform Engineer,[],,,['Configure environment labels'],,,Environment annotations,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to detect environment health issues', 'Reduce mean time to identify root cause of degradation', 'Ensure visibility into synchronization status across all environments']",,health-information-for-resources-deployment.adoc,,,,"health-information-for-resources-deployment-reduced.adoc -> Section 'Checking health information', lines 81-115 [module: modules/go-health-monitoring.adoc, type: PROCEDURE]. Procedure covers viewing environment status, hovering over status icons to see synchronization details, accessing application environment pages, and interpreting health indicators (broken heart for degraded performance, yellow yield sign for delayed data).",,,,,,main_job,,,,,Monitor,,"When operating GitOps-managed applications, I want to monitor the health and synchronization status of all environment deployments, so I can quickly identify and address issues impacting application availability",core,,,Source module: modules/go-health-monitoring.adoc (PROCEDURE). This is a main job focused on the monitoring stage. The procedure shows how to navigate the Developer perspective to check environment and resource health status.,,,,,,DevOps Engineer,"['Install Red Hat OpenShift GitOps Operator', 'Synchronize applications with Argo CD']",,,"['Configure environment labels and annotations', 'View deployment history', 'Troubleshoot deployment issues']",,,Checking health information,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to get environment status overview', 'Ensure all environments visible in single view', 'Enable quick comparison of synchronization status']",,health-information-for-resources-deployment.adoc,,,,"health-information-for-resources-deployment-reduced.adoc -> Section 'Checking health information', lines 95-97 [module: modules/go-health-monitoring.adoc, type: PROCEDURE]. Steps 1-2 describe clicking Environments in Developer perspective and hovering over Environment status column icons.",,,,,,user_story,,,,,Monitor,,"When checking application health via the OpenShift console, I want to view all environments and their synchronization status in one page, so I can get a quick overview of deployment health across environments",related,,,This user story shows the UI-based approach to viewing high-level environment status. It's one way to accomplish the monitoring job.,,,,,"When operating GitOps-managed applications, I want to monitor the health and synchronization status of all environment deployments, so I can quickly identify and address issues impacting application availability",DevOps Engineer,[],,,"['View resource health details', 'View deployment history']",,,Checking health information - View environment status,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to identify unhealthy resources', 'Ensure clear interpretation of health indicators', 'Reduce confusion about resource status meanings']",,health-information-for-resources-deployment.adoc,,,,"health-information-for-resources-deployment-reduced.adoc -> Section 'Checking health information', lines 99-104 [module: modules/go-health-monitoring.adoc, type: PROCEDURE]. Steps 3-4 describe clicking application name and hovering over resource icons to see status details (broken heart = degraded performance, yellow yield = delayed health data).",,,,,,user_story,,,,,Monitor,,"When investigating application health issues via the OpenShift console, I want to drill down into specific applications and view resource status details, so I can identify which resources are degraded or delayed",related,,,This user story shows the detail-level health monitoring via UI. Provides specific interpretation of health status icons.,,,,,"When operating GitOps-managed applications, I want to monitor the health and synchronization status of all environment deployments, so I can quickly identify and address issues impacting application availability",DevOps Engineer,[],,,"['View environment status', 'View deployment history']",,,Checking health information - View resource health details,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to trace deployment to source commit', 'Ensure visibility into deployment timeline', 'Enable quick identification of deployment author and description']",,health-information-for-resources-deployment.adoc,,,,"health-information-for-resources-deployment-reduced.adoc -> Section 'Checking health information', lines 106-115 [module: modules/go-health-monitoring.adoc, type: PROCEDURE]. Step 5 describes clicking Deployment History tab to view Last deployment, Description (commit message), Environment, Author, and Revision.",,,,,,user_story,,,,,Monitor,,"When auditing or troubleshooting deployments via the OpenShift console, I want to view the deployment history with commit details, so I can correlate application changes with Git commits and identify what changed when",related,,,This user story focuses on the historical/audit aspect of monitoring. Complements the real-time health monitoring stories.,,,,,"When operating GitOps-managed applications, I want to monitor the health and synchronization status of all environment deployments, so I can quickly identify and address issues impacting application availability",DevOps Engineer,[],,,"['View environment status', 'View resource health details']",,,Checking health information - View deployment history,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to collect all necessary diagnostic information', 'Reduce back-and-forth with support by providing complete data upfront', 'Ensure all relevant GitOps and cluster data is captured']",,collecting-debugging-data-for-support.adoc,,,,"collecting-debugging-data-for-support-reduced.adoc -> Assembly introduction, lines 9-14 [module: assembly introduction]",,,,,,main_job,,,,,Troubleshoot,,"When I encounter issues with my GitOps deployment, I want to collect comprehensive diagnostic information, so I can provide Red Hat Support with the data needed to resolve my issue quickly.",core,,,Main job covering the full troubleshooting workflow. This is a consumption chain activity (support/maintenance). Two user stories follow for general cluster data and GitOps-specific data.,,,,,,Cluster administrator,"['Have cluster administrator access', 'Have OpenShift CLI installed', 'Have GitOps Operator installed']",,,"['Open a Red Hat support case', 'Upload diagnostic data to support portal']",,,Collecting debugging data for a support case,,,,,,,,,,
,,,,,,,,,,,"['Understand what data must-gather collects by default', 'Know when to use feature-specific image arguments', 'Understand the output directory structure']",,collecting-debugging-data-for-support.adoc,,,,"collecting-debugging-data-for-support-reduced.adoc -> Section 'About the must-gather tool', lines 16-70 [module: modules/about-must-gather.adoc, type: CONCEPT]",,,,,,user_story,,,,,Reference,,"When I need to understand what diagnostic data can be collected, I want to learn about the must-gather tool's capabilities and options, so I can choose the appropriate collection method for my issue.",related,,,Conceptual content explaining must-gather capabilities. This is a 'Define' stage activity - helping users understand their options before collecting. Module type: CONCEPT.,,,,,Collect comprehensive diagnostic information,Cluster administrator,['Have cluster administrator access'],,,"['Collect GitOps-specific debugging data', 'Collect feature-specific debugging data']",,,About the must-gather tool,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to collect GitOps-specific logs and resources', 'Ensure all GitOps custom resources are captured', 'Reduce likelihood of missing critical ArgoCD configuration data', 'Enable support to diagnose GitOps issues without additional data requests']",,collecting-debugging-data-for-support.adoc,,,,"collecting-debugging-data-for-support-reduced.adoc -> Section 'Collecting debugging data for {gitops-title}', lines 72-108 [module: modules/collecting-gitops-debugging-data.adoc, type: PROCEDURE]",,,,,,user_story,,,,,Troubleshoot,,"When I have a GitOps-specific issue, I want to collect targeted diagnostic data for the GitOps Operator and ArgoCD components, so I can provide support with GitOps-focused troubleshooting information.",core,,,"Procedure for GitOps-specific must-gather execution. Collects: GitOps Operator subscription/namespace, ArgoCD objects (ArgoCD, Applications, ApplicationSets, AppProjects, configmaps), managed namespace resources, GitOps CRs/CRDs, Operator/ArgoCD logs, warning/error events. Module type: PROCEDURE. Includes compress and upload steps.",,,,,Collect comprehensive diagnostic information,Cluster administrator,"['Have cluster administrator access', 'Have OpenShift CLI installed', 'Have GitOps Operator installed', 'Know the directory for storing diagnostic data']",,,"['Compress collected diagnostic data', 'Attach diagnostic data to support case']",,,Collecting debugging data for {gitops-title},,,,,,,,,,
,,,,,,,,,,,"['Minimize time to understand available configuration options', 'Reduce likelihood of misconfiguration', 'Ensure configuration aligns with organizational requirements']",,argo-cd-custom-resource-properties.adoc,,,,"Assembly: cicd/gitops/argo-cd-custom-resource-properties.adoc, lines 1-16. Abstract states: 'The ArgoCD custom resource is a Kubernetes Custom Resource (CRD) that describes the desired state for a given Argo CD cluster that allows you to configure the components which make up an Argo CD cluster.'",,,,,,main_job,,,,,Define,,"When setting up GitOps infrastructure, I want to understand the Argo CD custom resource properties, so I can configure my Argo CD cluster to meet my organization's requirements",core,,,This is a reference assembly providing comprehensive property documentation for Argo CD custom resource configuration.,,,,,,Platform Engineer,[],,,"['Configure Argo CD components', 'Set up GitOps workflows']",,,Argo CD Operator,,,,,,,,,,
,,,,,,,,,,,"['Minimize time spent troubleshooting unsupported tools', 'Reduce likelihood of configuration errors', 'Ensure use of supported configuration methods']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/argo-cd-command-line.adoc (PROCEDURE), lines 1-12. Content states: 'The Argo CD CLI tool is a tool used to configure Argo CD through the command line. {gitops-title} does not support this binary. Use the OpenShift Console to configure the Argo CD.'",,,,,,user_story,,,,,Define,,"When configuring Argo CD, I want to know which command-line tools are supported, so I can avoid using unsupported methods and use the correct interface",core,,,Important negative guidance: explicitly states the Argo CD CLI is NOT supported in Red Hat OpenShift GitOps. Users must use OpenShift Console instead.,,,,,"When setting up GitOps infrastructure, I want to understand the Argo CD custom resource properties, so I can configure my Argo CD cluster to meet my organization's requirements",Platform Engineer,[],,,['Configure Argo CD via OpenShift Console'],,,Argo CD CLI tool,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to find correct property names and values', 'Reduce likelihood of syntax errors', 'Ensure configuration changes achieve intended behavior']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-properties.adoc (REFERENCE), lines 1-112. Provides comprehensive table with Name, Description, Default, and Properties columns for 30+ configuration options including ApplicationSet, Controller, HA, Notifications, Prometheus, RBAC, Redis, Server, SSO, TLS, and more.",,,,,,main_job,,,,,Prepare,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",core,,,"This is the core reference module. Contains detailed specifications for all major Argo CD component configurations. Key properties include: ApplicationInstanceLabelKey, ApplicationSet (with Image/Version/Resources/LogLevel), Controller (with Processors/Sharding), HA settings, Notifications, Prometheus, RBAC, Redis, Server (with Autoscale/Replicas/Route), SSO (Keycloak/Dex), TLS, and Banner.",,,,,,Platform Engineer,"[""When setting up GitOps infrastructure, I want to understand the Argo CD custom resource properties, so I can configure my Argo CD cluster to meet my organization's requirements""]",,,"['Configure repo server properties', 'Enable notifications']",,,Argo CD custom resource properties,,,,,,,,,,
,,,,,,,,,,,"['Minimize ApplicationSet processing time through parallelism tuning', 'Reduce resource contention', 'Ensure appropriate logging for troubleshooting']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-properties.adoc (REFERENCE), lines 15-23. ApplicationSet properties include: Image (overrides ARGOCD_APPLICATIONSET_IMAGE), Version, Resources, LogLevel (debug/info/error/warn), LogFormat (text/json), PrallelismLimit (kubectl parallelism).",,,,,,user_story,,,,,Prepare,,"When configuring ApplicationSet controller, I want to set image, version, resources, log level, log format, and parallelism limits, so I can optimize ApplicationSet operations for my cluster",related,,,Configurable via .spec.ApplicationSet in ArgoCD custom resource. Note typo in original: 'PrallelismLimit' should likely be 'ParallelismLimit'.,,,,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",Platform Engineer,[],,,['Configure Application Controller'],,,Argo CD custom resource properties - ApplicationSet,,,,,,,,,,
,,,,,,,,,,,"['Minimize memory pressure on controller', 'Reduce application sync delays', 'Ensure controller can manage large cluster counts']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-properties.adoc (REFERENCE), lines 25-33. Controller properties include: Processors.Operation, Processors.Status, Resources, LogLevel, AppSync (sync frequency control), Sharding.enabled (for large cluster management), Sharding.replicas, and Env.",,,,,,user_story,,,,,Prepare,,"When scaling Argo CD for large cluster counts, I want to configure controller sharding and resource allocations, so I can relieve memory pressure and process applications efficiently",related,,,Sharding is specifically mentioned for managing large numbers of clusters to relieve memory pressure. Critical for enterprise-scale deployments.,,,,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",Platform Engineer,[],,,['Configure high availability'],,,Argo CD custom resource properties - Controller,,,,,,,,,,
,,,,,,,,,,,"['Minimize GitOps downtime', 'Reduce risk of single point of failure', 'Ensure continuous application sync operations']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-properties.adoc (REFERENCE), lines 37-40. HA properties include: Enabled (toggle HA globally), RedisProxyImage (overrides ARGOCD_REDIS_HA_PROXY_IMAGE), RedisProxyVersion.",,,,,,user_story,,,,,Prepare,,"When ensuring Argo CD resilience, I want to enable high availability mode with Redis HAProxy, so I can prevent GitOps outages and maintain continuous operations",related,,,HA configuration is global and includes Redis HAProxy component for high-availability Redis backend.,,,,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",Platform Engineer,[],,,"['Configure Redis settings', 'Configure server replicas']",,,Argo CD custom resource properties - High Availability,,,,,,,,,,
,,,,,,,,,,,"['Minimize server resource waste through autoscaling', 'Reduce response latency under load', 'Ensure secure external access']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-properties.adoc (REFERENCE), lines 76-89. Server properties include: Autoscale, ExtraCommandArgs, GRPC, Host, Ingress, Insecure, Resources, Replicas (ignored if Autoscale enabled), Route, Service.Type, LogLevel, LogFormat, Env.",,,,,,user_story,,,,,Prepare,,"When configuring Argo CD server component, I want to set autoscaling, replicas, routes, and resource limits, so I can handle varying load and expose the UI securely",related,,,"Key note: If Autoscale is enabled, Replicas setting is ignored. Server exposes both UI and API.",,,,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",Platform Engineer,[],,,"['Configure ingress/routes', 'Configure authentication']",,,Argo CD custom resource properties - Server,,,,,,,,,,
,,,,,,,,,,,"['Minimize user onboarding overhead', 'Reduce authentication errors', 'Ensure compliance with identity governance']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-properties.adoc (REFERENCE), lines 90-97. SSO properties include: Image (Keycloak override), Keycloak config, Dex config, Provider (Dex or Keycloak), Resources, VerifyTLS, Version.",,,,,,user_story,,,,,Prepare,,"When integrating enterprise authentication, I want to configure SSO with Keycloak or Dex, so I can centralize user access and enforce organizational identity policies",related,,,Supports two SSO providers: Keycloak and Dex. Provider field selects which one to use.,,,,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",Platform Engineer,[],,,"['Configure RBAC', 'Disable admin user']",,,Argo CD custom resource properties - SSO,,,,,,,,,,
,,,,,,,,,,,"['Minimize unauthorized access risk', 'Reduce compliance violations', 'Ensure appropriate separation of duties']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-properties.adoc (REFERENCE), lines 63-66. RBAC properties include: DefaultPolicy (fallback role), Policy (CSV with user-defined RBAC policies and role definitions), Scopes (OIDC scopes to examine).",,,,,,user_story,,,,,Prepare,,"When enforcing access controls, I want to define RBAC policies and default roles, so I can restrict API operations to authorized users and teams",related,,,RBAC config maps to argocd-rbac-cm ConfigMap. Policy uses CSV format for policy definitions.,,,,,"When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly",Platform Engineer,[],,,"['Configure SSO', 'Disable admin user']",,,Argo CD custom resource properties - RBAC,,,,,,,,,,
,,,,,,,,,,,"['Minimize repository sync failures', 'Reduce Helm/Kustomize rendering timeouts', 'Ensure secure repository connections']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-repo-server-properties.adoc (REFERENCE), lines 1-30. Provides table with Name, Default, Description for 11 properties: Resources, MountSAToken, ServiceAccount, VerifyTLS, AutoTLS (OpenShift-specific), Image, Version, LogLevel, LogFormat, ExecTimeout (default 180s for Helm/Kustomize), Env, Replicas.",,,,,,main_job,,,,,Prepare,,"When configuring repository server component, I want to set resource limits, TLS settings, timeouts, and replicas, so I can ensure reliable Git repository access and rendering performance",core,,,ExecTimeout is critical for large Helm charts or complex Kustomize overlays. AutoTLS is OpenShift-specific feature for automatic gRPC TLS certificate setup.,,,,,,Platform Engineer,"['When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly']",,,"['Configure TLS certificates', 'Configure service accounts']",,,Repo server properties,,,,,,,,,,
,,,,,,,,,,,"['Minimize risk of credential interception', 'Reduce TLS configuration errors', 'Ensure encrypted repository communications']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-repo-server-properties.adoc (REFERENCE), lines 17-18. VerifyTLS (default: false) enforces strict TLS checking on repo server communications. AutoTLS (OpenShift provider) sets up gRPC TLS certificates automatically.",,,,,,user_story,,,,,Prepare,,"When ensuring secure repository access, I want to configure TLS verification and auto-TLS for repo server, so I can prevent man-in-the-middle attacks and encrypt Git communications",related,,,"AutoTLS is currently OpenShift-only feature. VerifyTLS defaults to false, should be enabled for production security.",,,,,"When configuring repository server component, I want to set resource limits, TLS settings, timeouts, and replicas, so I can ensure reliable Git repository access and rendering performance",Platform Engineer,[],,,['Configure TLS certificates for Argo CD'],,,Repo server properties - TLS configuration,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to detect sync failures', 'Reduce manual monitoring overhead', 'Ensure timely alerts for operational issues']",,argo-cd-custom-resource-properties.adoc,,,,"Module: modules/gitops-argo-cd-notification.adoc (PROCEDURE), lines 1-24. Procedure shows setting .spec.notifications.enabled to true in ArgoCD custom resource. Links to upstream Argo CD notifications documentation. Default is disabled.",,,,,,main_job,,,,,Prepare,,"When setting up GitOps alerting, I want to enable the Argo CD notifications controller, so I can receive alerts about application sync status and operational events",core,,,Notifications are disabled by default and must be explicitly enabled. Links to https://argo-cd.readthedocs.io/en/stable/operator-manual/notifications/ for notification configuration details.,,,,,,Platform Engineer,"['When configuring Argo CD components, I want to reference comprehensive property specifications, so I can customize ApplicationSet, Controller, HA, Notifications, Server, SSO, and other components correctly']",,,"['Configure notification channels', 'Monitor application sync status']",,,Enabling notifications with Argo CD instance,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to understand GitOps capabilities', 'Reduce uncertainty about product features and enterprise support', 'Ensure awareness of documentation location']",,about-redhat-openshift-gitops.adoc,,,,"about-redhat-openshift-gitops.adoc -> Section 'About {gitops-title}', lines 9-10. Key content: OpenShift GitOps is an Operator using Argo CD as declarative GitOps engine, enables workflows across multicluster OpenShift and Kubernetes infrastructure.",,,,,,main_job,,,,,Get Started,,"When I need to understand what OpenShift GitOps is and its capabilities, I want to learn about its features and relationship to Argo CD, so I can determine if it meets my GitOps workflow needs.",core,,,This is a minimal overview assembly that primarily redirects to external documentation. Main job is understanding/evaluating the product. The note about separate documentation (lines 11-14) indicates a redirect to https://docs.redhat.com/en/documentation/red_hat_openshift_gitops.,,,,,,Platform administrator,[],,,"['Access detailed GitOps documentation', 'Install GitOps operator', 'Configure GitOps workflows']",,,About {gitops-title},,,,,,,,,,
,,,,,,,,when implementing continuous deployment with GitOps,,Platform Administrator,,,,,efficiently,,"about-sizing-requirements-gitops-reduced.adoc -> Section 'Sizing requirements for GitOps', lines 15-24 [module: modules/sizing-requirements-for-gitops.adoc, type: CONCEPT]",,,configure,,,,,,,,,,Configure CPU and memory requirements for GitOps applications,,,,Source module: modules/sizing-requirements-for-gitops.adoc (CONCEPT). The document explains that GitOps is 'a declarative way to implement continuous deployment for cloud-native applications' and that you can 'define and configure the CPU and memory requirements of your application' through GitOps.,,,,,,,,,,,,,,,,,,"['Define appropriate CPU and memory requirements for the application', 'Ensure the Operator installation succeeds within namespace quotas', 'Prevent ArgoCD pod scheduling failures due to insufficient resources']",,,,,
,,,,,,,,when default ArgoCD resource allocations don't meet specific requirements,,Platform Administrator,,,,,precisely,,"about-sizing-requirements-gitops-reduced.adoc -> Section 'Sizing requirements for GitOps', lines 26-31 [module: modules/sizing-requirements-for-gitops.adoc, type: CONCEPT]",,,customize,,,,,,,,,,Modify default resource specifications for ArgoCD workloads,,,,Source module: modules/sizing-requirements-for-gitops.adoc (CONCEPT). The document provides an optional command: 'oc edit argocd <name of argo cd> -n namespace' to view and modify ArgoCD custom resource specifications.,,,,,,,,,,,,,,,,,,"['Access the ArgoCD custom resource configuration', 'View current resource specifications', 'Successfully modify CPU and memory limits and requests']",,,,,
,,,,,,,,when the Operator fails within a namespace with quotas,,Platform Administrator,,,,,quickly,,"about-sizing-requirements-gitops-reduced.adoc -> Section 'Sizing requirements for GitOps', lines 17-19 [module: modules/sizing-requirements-for-gitops.adoc, type: CONCEPT]",,,diagnose,,,,,,,,,,Troubleshoot GitOps Operator installation failures due to resource quotas,,,,"Source module: modules/sizing-requirements-for-gitops.adoc (CONCEPT). The document explicitly states: 'If the default installation does not set any limits or requests, the Operator fails within the namespace with quotas. Without enough resources, the cluster cannot schedule ArgoCD related pods.'",,,,,,,,,,,,,,,,,,"['Understand why the Operator failed in the namespace', 'Identify missing resource limits or requests', 'Know the minimum resource requirements to resolve the issue']",,,,,
"CLI installation method, manual Argo CD installation, community Argo CD Operator",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator in web console', lines 21-68 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",OpenShift GitOps Operator is installed and a ready-to-use Argo CD instance is available in the openshift-gitops namespace,once per cluster,,,,,,critical,,,,Cluster administrator,Install the OpenShift GitOps Operator using the web console so I can set up GitOps capabilities in my OpenShift cluster,,['modules/installing-gitops-operator-in-web-console.adoc'],Enable declarative application deployment and cluster resource management using Argo CD,Source module: modules/installing-gitops-operator-in-web-console.adoc (PROCEDURE). Covers web console installation with OperatorHub. Requires cluster-admin role and Marketplace capability.,Installing {gitops-title} Operator in web console,,,,,,,,,,high,,,Cluster administrator needs to enable GitOps functionality,,,,,,,,,Setup
"Using default latest channel, pinning to specific version channel like gitops-1.8",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Prerequisites' and 'Installing {gitops-title} Operator in web console', lines 14-19, 33-35 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",Correct version of GitOps Operator is installed from the selected channel,once per cluster,,,,,,medium,,,,Cluster administrator,Select the appropriate update channel and version for OpenShift GitOps so I can control which version of the Operator is installed,,['modules/installing-gitops-operator-in-web-console.adoc'],Ensure compatibility with cluster version and control upgrade timing,Latest channel is default and recommended. Specific version channels like gitops-1.8 available for version control. Channel selection happens during installation.,Installing {gitops-title} Operator in web console,,,,,,,,,,medium,,,Installing OpenShift GitOps Operator and need to choose between latest or specific version channel,,,,,,,,,Setup
Default openshift-gitops-operator namespace vs openshift-operators (legacy),,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator in web console', lines 37-46 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",Operator is installed in the correct namespace with monitoring enabled if desired,once per cluster,,,,,,medium,,,,Cluster administrator,Choose the installation namespace for OpenShift GitOps Operator so I can organize operator resources appropriately,,['modules/installing-gitops-operator-in-web-console.adoc'],Follow best practices for operator namespace organization and enable cluster monitoring,Default changed from openshift-operators to openshift-gitops-operator in version 1.10. Can enable cluster monitoring via checkbox or label.,Installing {gitops-title} Operator in web console,,,,,,,,,,medium,,,Installing the Operator and selecting where it should be deployed,,,,,,,,,Setup
"Checking pod status in namespace, reviewing logs",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator in web console', lines 62-64 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",Operator status shows as Succeeded in Installed Operators list,once per cluster,,,,,,critical,,,,Cluster administrator,Verify that the OpenShift GitOps Operator installed successfully so I can confirm it is ready to use,,['modules/installing-gitops-operator-in-web-console.adoc'],Ensure installation succeeded before proceeding with GitOps configuration,Verification done via Operators -> Installed Operators in web console. Status should be Succeeded.,Installing {gitops-title} Operator in web console,,,,,,,,,,high,,,After completing Operator installation,,,,,,,,,Setup
"Web console installation, Helm charts, GitOps-based installation",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 70-146 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]","OpenShift GitOps Operator is installed via CLI with proper namespace, OperatorGroup, and Subscription resources",once per cluster,,,,,,critical,,,,"Cluster administrator, SRE, Platform engineer",Install the OpenShift GitOps Operator using the CLI so I can automate the installation process or install in environments without web console access,,['modules/installing-gitops-operator-using-cli.adoc'],"Enable GitOps in automated workflows, scripts, or air-gapped environments","Source module: modules/installing-gitops-operator-using-cli.adoc (PROCEDURE). Requires creating namespace, OperatorGroup, and Subscription resources. More suitable for automation.",Installing {gitops-title} Operator using CLI,,,,,,,,,,high,,,Cluster administrator needs to enable GitOps using command-line tools,,,,,,,,,Setup
"Using existing namespace, creating namespace via web console",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 80-102 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]",openshift-gitops-operator namespace exists with OperatorGroup configured,once per cluster,,,,,,critical,,,,"Cluster administrator, Platform engineer",Create the required namespace and OperatorGroup for GitOps Operator so I can prepare the cluster for Operator installation,,['modules/installing-gitops-operator-using-cli.adoc'],Follow Operator installation requirements and enable proper scoping,Namespace creation is first step. OperatorGroup YAML must be created and applied. Default namespace changed in version 1.10.,Installing {gitops-title} Operator using CLI,,,,,,,,,,medium,,,Installing GitOps Operator via CLI and need to set up namespace prerequisites,,,,,,,,,Setup
"Manual YAML creation, using oc create command, web console subscription",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 104-127 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]",Subscription resource created and Operator begins installing,once per cluster,,,,,,critical,,,,"Cluster administrator, Platform engineer",Create and apply a Subscription resource for the GitOps Operator so I can trigger the installation from the Operator catalog,,['modules/installing-gitops-operator-using-cli.adoc'],Subscribe to the GitOps Operator from the Red Hat catalog to initiate installation,"Subscription specifies channel, installPlanApproval, source catalog, and namespace. Uses redhat-operators catalog from openshift-marketplace.",Installing {gitops-title} Operator using CLI,,,,,,,,,,high,,,"Namespace and OperatorGroup are configured, ready to install Operator",,,,,,,,,Setup
